O.S;"
Status";Código;Descrição;Código;Descrição;Código;Descrição;"
Origem";"
Objeto";Código;Descrição;"
Modelo";Código;Descrição;Código;Descrição;Entrada;Saída Prevista;Saída;"Tempo de
Permanência(h)";Descrição da O.S
151827937;Encerrada;20;Cent Recup Raízen CRR;52;CT RECUP  CORR -NORÇ;11020;SUPER CENTRAL BARRA;Interna;Equipamento;101529;John Deere CH670 2L Colhe;1191;11;Colhedora;;;02/02/2024 07:30;02/03/2024 17:30;22/07/2024 11:30;4.108,00;SETOR-CAIXAS DE ENGRENAGENS  -  MODELO-CAIXA 04 FUROS  -  MANUTENÇÃO-REPARO COMPLETO  -  FALHA-SEM INFORMAÇÃO  -  TIPO-DEVOLVER  -  PRIORIDADE-NORMAL  -  MAPA-NÃO  -  STATUS-OPEX  -  HORÍMETRO-SEM INFORMAÇÃO  -  ÚLTIMA REVISÃO-SEM INFORMAÇÃO  -  OBS-SEM I
151827942;Encerrada;20;Cent Recup Raízen CRR;51;CT RECUP PREV - ORÇ;11020;SUPER CENTRAL BARRA;Interna;Equipamento;50174;John Deere CH670 1LRevamp;1613;11;Colhedora;;;02/02/2024 07:30;02/03/2024 17:30;16/04/2024 11:30;0;SETOR-TRANSMISSÃO  -  MODELO-REDUÇÃO FINAL  -  MANUTENÇÃO-REPARO COMPLETO  -  FALHA-SEM INFORMAÇÃO  -  TIPO-RESERVA CRR  -  PRIORIDADE-NORMAL  -  MAPA-NÃO  -  STATUS-OPEX  -  HORÍMETRO-SEM INFORMAÇÃO  -  ÚLTIMA REVISÃO-SEM INFORMAÇÃO  -  OBS-SOLIC. ANA BO
151827954;Encerrada;20;Cent Recup Raízen CRR;53;CT RECUP PREV -NORÇ;11020;SUPER CENTRAL BARRA;Interna;Equipamento;117587;John Deere CH570 1L Colhe;1219;11;Colhedora;;;02/02/2024 07:30;02/03/2024 17:30;14/05/2024 11:30;2.452,00;SETOR-TRANSMISSÃO  -  MODELO-REDUÇÃO FINAL  -  MANUTENÇÃO-REPARO COMPLETO  -  FALHA-SEM INFORMAÇÃO  -  TIPO-DEVOLVER  -  PRIORIDADE-NORMAL  -  MAPA-NÃO  -  STATUS-OPEX  -  HORÍMETRO-SEM INFORMAÇÃO  -  ÚLTIMA REVISÃO-SEM INFORMAÇÃO  -  OBS-SOLIC. ANA BORGE
151827955;Encerrada;20;Cent Recup Raízen CRR;51;CT RECUP PREV - ORÇ;11020;SUPER CENTRAL BARRA;Interna;Equipamento;101512;John Deere CH670 2L Colhe;1191;11;Colhedora;;;02/02/2024 07:30;02/03/2024 17:30;22/04/2024 11:30;0;SETOR-TRANSMISSÃO  -  MODELO-REDUÇÃO FINAL  -  MANUTENÇÃO-REPARO COMPLETO  -  FALHA-SEM INFORMAÇÃO  -  TIPO-DEVOLVER  -  PRIORIDADE-NORMAL  -  MAPA-NÃO  -  STATUS-OPEX  -  HORÍMETRO-SEM INFORMAÇÃO  -  ÚLTIMA REVISÃO-SEM INFORMAÇÃO  -  OBS-SEM INFORMAÇÃO  
151827956;Encerrada;20;Cent Recup Raízen CRR;51;CT RECUP PREV - ORÇ;11020;SUPER CENTRAL BARRA;Interna;Equipamento;101512;John Deere CH670 2L Colhe;1191;11;Colhedora;;;02/02/2024 07:30;02/03/2024 17:30;15/04/2024 17:30;0;SETOR-TRANSMISSÃO  -  MODELO-REDUÇÃO FINAL  -  MANUTENÇÃO-REPARO COMPLETO  -  FALHA-SEM INFORMAÇÃO  -  TIPO-RESERVA CRR  -  PRIORIDADE-NORMAL  -  MAPA-NÃO  -  STATUS-OPEX  -  HORÍMETRO-SEM INFORMAÇÃO  -  ÚLTIMA REVISÃO-SEM INFORMAÇÃO  -  OBS-SEM INFORMAÇÃ
151827957;Encerrada;20;Cent Recup Raízen CRR;51;CT RECUP PREV - ORÇ;11020;SUPER CENTRAL BARRA;Interna;Equipamento;101517;John Deere CH670 2L Colhe;1191;11;Colhedora;;;02/02/2024 07:30;02/03/2024 17:30;17/04/2024 11:30;0;SETOR-TRANSMISSÃO  -  MODELO-REDUÇÃO FINAL  -  MANUTENÇÃO-REPARO COMPLETO  -  FALHA-SEM INFORMAÇÃO  -  TIPO-DEVOLVER  -  PRIORIDADE-NORMAL  -  MAPA-NÃO  -  STATUS-OPEX  -  HORÍMETRO-SEM INFORMAÇÃO  -  ÚLTIMA REVISÃO-SEM INFORMAÇÃO  -  OBS-SOLOC. CARRARA  
151827958;Encerrada;20;Cent Recup Raízen CRR;53;CT RECUP PREV -NORÇ;11020;SUPER CENTRAL BARRA;Interna;Equipamento;101525;John Deere CH670 2L Colhe;1191;11;Colhedora;;;02/02/2024 07:30;02/03/2024 17:30;10/07/2024 16:00;3.824,50;SETOR-TRANSMISSÃO  -  MODELO-REDUÇÃO FINAL  -  MANUTENÇÃO-REPARO COMPLETO  -  FALHA-SEM INFORMAÇÃO  -  TIPO-DEVOLVER  -  PRIORIDADE-NORMAL  -  MAPA-NÃO  -  STATUS-OPEX  -  HORÍMETRO-SEM INFORMAÇÃO  -  ÚLTIMA REVISÃO-SEM INFORMAÇÃO  -  OBS-SOLIC. PETERSON 
151829046;Encerrada;20;Cent Recup Raízen CRR;52;CT RECUP  CORR -NORÇ;11020;SUPER CENTRAL BARRA;Interna;Equipamento;101524;John Deere CH670 2L Colhe;1191;11;Colhedora;;;06/02/2024 07:30;06/03/2024 07:30;01/07/2024 13:00;3.509,50;SETOR-HIDRÁULICA  -  MODELO-BOMBA PISTÃO CH  -  MANUTENÇÃO-REPARO COMPLETO  -  FALHA-SEM INFORMAÇÃO  -  TIPO-DEVOLVER  -  PRIORIDADE-URGENTE  -  MAPA-NÃO  -  STATUS-OPEX  -  HORÍMETRO-SEM INFORMAÇÃO  -  ÚLTIMA REVISÃO-SEM INFORMAÇÃO  -  OBS-SEM INFORMAÇÃO
151829569;Encerrada;20;Cent Recup Raízen CRR;51;CT RECUP PREV - ORÇ;11020;SUPER CENTRAL BARRA;Interna;Equipamento;101521;John Deere CH670 1LRevamp;1613;11;Colhedora;;;08/02/2024 13:01;08/03/2024 17:00;11/04/2024 11:30;0;SETOR-TRANSMISSÃO  -  MODELO-REDUÇÃO FINAL (CUBO) JD - ACIONAMENTO  -  MANUTENÇÃO-REPARO COMPLETO  -  FALHA-SEM INFORMAÇÃO  -  TIPO-DEVOLVER  -  PRIORIDADE-NORMAL  -  MAPA-SIM  -  STATUS-OPEX  -  HORÍMETRO-SEM INFORMAÇÃO  -  ÚLTIMA REVISÃO-SEM INFORMAÇÃO 
151829577;Encerrada;20;Cent Recup Raízen CRR;52;CT RECUP  CORR -NORÇ;11020;SUPER CENTRAL BARRA;Interna;Equipamento;101505;John Deere CH670 2L Colhe;1191;11;Colhedora;;;09/02/2024 13:21;09/03/2024 17:00;10/07/2024 14:40;3.649,31;SETOR-HIDRÁULICA  -  MODELO-MOTOR HIDRAULICO CORTE DE BASE  -  MANUTENÇÃO-REPARO COMPLETO  -  FALHA-SEM INFORMAÇÃO  -  TIPO-DEVOLVER  -  PRIORIDADE-URGENTE  -  MAPA-NÃO  -  STATUS-OPEX  -  HORÍMETRO-SEM INFORMAÇÃO  -  ÚLTIMA REVISÃO-SEM INFORMAÇÃO  -  OBS
