O.S;;Código;Descrição;Código;Descrição;Código;Descrição;;;Código;Descrição;;Código;Descrição;Código;Descrição;Entrada;Saída Prevista;Saída;;Descrição da O.S
165501474;Aprovisionamento;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11002;OFICINA CAMPO;Campo;Equipamento;360917;John Deere CH570 1L Colhe;1219;11;Colhedora;;;09/06/2025 06:00;09/06/2025 07:00;;0;"B_OT_P_MEC_2,00_1,00 - Inspeção realizada no sistema cabine. Trocar vidro traseiro. Vidro trincado.   8131373_01; 6004658_4 AGUARDAR O TEMPO DE CURA DO ADESIVO
"
165501504;Aprovisionamento;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11002;OFICINA CAMPO;Campo;Equipamento;100816;Case Puma 230 4x4;1232;3;Trator de Pneu;;;09/06/2025 06:00;09/06/2025 07:00;;0;"A_MT_P_MEC_1,00_1,00 - Inspeção realizada no sistema de arrefecimento. Trocar radiador de agua, esta furado.      3007055_1
"
165501506;Aprovisionamento;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11002;OFICINA CAMPO;Campo;Equipamento;168601;Case Puma 230 4x4;1232;3;Trator de Pneu;;;09/06/2025 07:00;09/06/2025 08:00;;0;"A_MT_P_MEC_0,30_1 - Inspeção realizada no sistema admissao - Instalar vedação de proteção da mangueira do intercooler L/E do motor diesel, esta sem e esfregando a mangueira proximo a entrada do radiador.      8189971_01

"
165501808;Aprovisionamento;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11001;OFICINA FIXA;Interna;Equipamento;97728;M.Benz Atego 1719;1034;1;Caminhão;;;10/06/2025 13:10;10/06/2025 13:10;;0;"A_OT_P_1,00_01 - Inspeção realizada sistema de suspensão. Trocar braço do estabilizador traseiro L/D (quebrado). 01_8139564
"
165501825;Aprovisionamento;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11001;OFICINA FIXA;Interna;Equipamento;71879;John Deere 6110J;951;3;Trator de Pneu;;;10/06/2025 14:51;10/06/2025 16:00;;0;"A_SS_P_MEC_1,00_1- inspeção realizada no sistema da barra de tração. trocar 4 parafusos de fixação suporte da barra da tração. 8151469_4.
"
165502102;Aprovisionamento;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11001;OFICINA FIXA;Interna;Equipamento;11802274;Case Puma 215 4x4 ;1274;3;Trator de Pneu;;;11/06/2025 09:07;11/06/2025 10:00;;0;"A_OT_P_MEC_2,00_1- Inspeção realizada no sistema do capuz. trocar grade frontal. 8162699_9; 8138354_1; 8137622_3; 8137623_1; 8137624_1; 8137066_1; 8137625_1; 8144550_1; 8137626_1; 8137090_1; 8137627_1; 8137607_1; 8137628_1; 8110861_8; 8137610_1; 8137629_2; 8137608_1; 8137630_1; 8137609_1.

"
165502131;Aprovisionamento;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11001;OFICINA FIXA;Interna;Equipamento;11802274;Case Puma 215 4x4 ;1274;3;Trator de Pneu;;;11/06/2025 09:27;11/06/2025 10:00;;0;"A_OT_P_MEC_0,50_1-Inspeção realizada no sistema elétrico. trocar a tampa da bateria.8127959_1; 8137363_1.

"
165502133;Aprovisionamento;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11001;OFICINA FIXA;Interna;Equipamento;11802274;Case Puma 215 4x4 ;1274;3;Trator de Pneu;;;11/06/2025 09:33;11/06/2025 10:00;;0;"A_OT_P_MEC_1,00_ Inspeção realizada no sistema de tração. trocar respiros do semi eixo L/E e L/D . 8138133_2.

"
165502138;Aprovisionamento;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11001;OFICINA FIXA;Interna;Equipamento;11802274;Case Puma 215 4x4 ;1274;3;Trator de Pneu;;;11/06/2025 09:40;11/06/2025 10:00;;0;"A_OT_P_MEC_1,00_2- Inspeção realizada no sistema de arrefecimento . trocar reservatório de expansão. 8129956_1; 8123203_1

"
165502143;Liberado para Programação;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11001;OFICINA FIXA;Interna;Equipamento;11802274;Case Puma 215 4x4 ;1274;3;Trator de Pneu;;;11/06/2025 09:46;11/06/2025 10:00;;0;"A_OT_P_MEC_5,00_2- Inspeção realizada no sistema da plataforma . Trocar amortecedores traseiro da cabine. 8138302_2   Material utilizado de OS ENCERRADA disponível na sala de Aprovisionamento 

"
165502145;Aprovisionamento;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11001;OFICINA FIXA;Interna;Equipamento;11802274;Case Puma 215 4x4 ;1274;3;Trator de Pneu;;;11/06/2025 09:51;11/06/2025 10:00;;0;"A_OT_P_MEC_5,00_2- Inspeção realizada no sistema da direção. Trocar pinos e buchas do cilindro da direção L/E e L/D. 8032784_2; 8005198_4; 8044744_2; 8169841_2

"
165502150;Aprovisionamento;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11001;OFICINA FIXA;Interna;Equipamento;11802274;Case Puma 215 4x4 ;1274;3;Trator de Pneu;;;11/06/2025 10:00;11/06/2025 10:30;;0;"A_OT_P_MEC_2,00_2- Inspeção realizada no sistema da Plataforma. Trocar travas da carenagens laterais do capuz L/E e L/D. 8143278_4; 8143306_4; 8143305_4; 8150663_8; 8150620_4; 8151032_4

"
165502157;Aprovisionamento;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11001;OFICINA FIXA;Interna;Equipamento;11802274;Case Puma 215 4x4 ;1274;3;Trator de Pneu;;;11/06/2025 10:10;11/06/2025 10:30;;0;"A_OT_P_MEC_1,00_1- Inspeção realizada no sistema da Plataforma. Trocar maçaneta do janelão traseiro.8104686_1; 8138572_1; 8138603_1; 8104695_1

"
165502177;Aprovisionamento;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11001;OFICINA FIXA;Interna;Equipamento;11802274;Case Puma 215 4x4 ;1274;3;Trator de Pneu;;;11/06/2025 10:19;11/06/2025 10:30;;0;"A_OT_P_MEC_1,00_1- Inspeção realizada no sistema da Plataforma. Trocar maçaneta da porta. 8130028_1; 8164998_1; 8165056_1.
"
165502178;Aprovisionamento;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11001;OFICINA FIXA;Interna;Equipamento;11802274;Case Puma 215 4x4 ;1274;3;Trator de Pneu;;;11/06/2025 10:29;11/06/2025 10:30;;0;"A_OT_P_MEC_5,00_2- Inspeção realizada no sistema hidráulico.Trocar reparos de vedação do filtro hidráulico. 8125593_1.


"
165502180;Aprovisionamento;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11001;OFICINA FIXA;Interna;Equipamento;11802274;Case Puma 215 4x4 ;1274;3;Trator de Pneu;;;11/06/2025 10:44;11/06/2025 11:00;;0;"A_OT_P_MEC_5,00_2- Inspeção realizada no sistema hidráulico. Trocar reparos de vedação do comando VCR.8114311_3

"
165502182;Aprovisionamento;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11001;OFICINA FIXA;Interna;Equipamento;11802274;Case Puma 215 4x4 ;1274;3;Trator de Pneu;;;11/06/2025 10:59;11/06/2025 11:00;;0;"A_OT_P_MEC_2,00_2- Inspeção realizada no sistema hidráulico. Trocar engates rápidos pequeno e médio. 8184051_1; 8134497_1.
"
165502183;Aprovisionamento;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11001;OFICINA FIXA;Interna;Equipamento;11802274;Case Puma 215 4x4 ;1274;3;Trator de Pneu;;;11/06/2025 11:13;11/06/2025 11:30;;0;"A_OT_P_MEC_2,00_2- Inspeção realizada no sistema hidráulico. Trocar cabos das alavancas hidraulicas. 8130013_4; 8142930_4; 8142954_4; 8049513_1.

"
165502377;Aprovisionamento;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11001;OFICINA FIXA;Interna;Equipamento;11802274;Case Puma 215 4x4 ;1274;3;Trator de Pneu;;;12/06/2025 06:42;12/06/2025 07:00;;0;"A_OT_P_MEC_8,00_2- Inspeção realizada no sistema do freio de estacionamento. Trocar cabo, discos e pastilhas do freio de estacionamento.  8130033_1; 8151842_6; 8119307_2; 8119306_6.
"
165502729;Aprovisionamento;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11002;OFICINA CAMPO;Campo;Equipamento;100770;Case Puma 230 4x4;1232;3;Trator de Pneu;;;12/06/2025 06:00;12/06/2025 06:01;;0;"A_SS_P_MEC_1_1 - Inspeção realizada na barra de tração, trocar porca do pino bola, não está reapertando devido a rosca danificada 8138878_4 NÃO PROGRAMAR, ENTREGAR AO TÉCNICO DE CAMPO DA FRENTE 202
"
165504562;Aprovisionamento;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11002;OFICINA CAMPO;Campo;Equipamento;100798;Case Puma 230 4x4;1232;3;Trator de Pneu;;;16/06/2025 06:00;16/06/2025 07:00;;0;"A_MT_P_MEC_0,30_1 - Inspeção realizada no sistema admissao - Instalar vedação de proteção da mangueira do intercooler L/E do motor diesel, esta sem e esfregando a mangueira proximo a entrada do radiador.      8189971_01

"
